Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,114,0,2,2.9526871048323016,1.7082429985748604,14.082509002037114,65.0,1.9367789396887258,0.0,2,2,2,3,6,9,10,13,14,14,14
GET,/model/info,53,0,2,3.0153734716702085,1.773645999492146,19.477036999887787,1238.0,0.9004323140658111,0.0,2,2,2,2,3,12,15,19,19,19,19
POST,/predict,272,0,10,13.688358125069927,8.964798002125463,108.49696999866865,247.0,4.621086592941521,0.0,10,11,12,13,19,32,47,62,110,110,110
POST,/predict/batch,121,0,11,13.39516230585984,9.091908003028948,47.86081200290937,519.0,2.0557039623011915,0.0,11,12,13,15,20,25,41,48,48,48,48
,Aggregated,560,0,10,10.429409237459756,1.7082429985748604,108.49696999866865,362.5125,9.51400180899725,0.0,10,10,11,12,18,25,38,48,110,110,110
