Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785332641,20,,Aggregated,10.600000,0.000000,10,10,11,13,19,33,48,62,110,110,110,280,0,10,11.164233564263018,1.7082429985748604,108.49696999866865,367.6142857142857
1785332642,20,,Aggregated,10.100000,0.000000,10,10,11,13,19,33,48,62,110,110,110,290,0,10,11.188279562075282,1.7082429985748604,108.49696999866865,363.7655172413793
1785332643,20,,Aggregated,10.600000,0.000000,10,10,11,13,19,27,47,48,110,110,110,303,0,10,11.04022846202527,1.7082429985748604,108.49696999866865,373.33003300330034
1785332644,20,,Aggregated,10.300000,0.000000,10,10,11,13,18,27,47,48,110,110,110,313,0,10,10.968957469620468,1.7082429985748604,108.49696999866865,367.5495207667732
1785332645,20,,Aggregated,10.600000,0.000000,10,10,12,13,18,26,47,48,110,110,110,324,0,10,10.92514814195898,1.7082429985748604,108.49696999866865,366.5308641975309
1785332646,20,,Aggregated,10.500000,0.000000,10,10,11,13,18,26,47,48,110,110,110,332,0,10,10.867428252976127,1.7082429985748604,108.49696999866865,366.9066265060241
1785332647,20,,Aggregated,10.500000,0.000000,10,10,11,12,18,26,47,48,110,110,110,341,0,10,10.790645847457807,1.7082429985748604,108.49696999866865,364.533724340176
1785332648,20,,Aggregated,10.100000,0.000000,10,10,11,12,18,26,47,48,110,110,110,351,0,10,10.811297999934325,1.7082429985748604,108.49696999866865,364.7834757834758
1785332649,20,,Aggregated,9.800000,0.000000,10,10,11,13,18,26,47,48,110,110,110,357,0,10,10.78810171703208,1.7082429985748604,108.49696999866865,364.5798319327731
1785332650,20,,Aggregated,10.300000,0.000000,10,10,11,13,18,25,47,48,110,110,110,370,0,10,10.730210532386304,1.7082429985748604,108.49696999866865,361.6702702702703
1785332651,20,,Aggregated,9.500000,0.000000,10,10,12,13,18,25,47,48,110,110,110,379,0,10,10.719022664868032,1.7082429985748604,108.49696999866865,367.0474934036939
1785332652,20,,Aggregated,10.100000,0.000000,10,10,12,13,18,26,47,48,110,110,110,389,0,10,10.8461925166762,1.7082429985748604,108.49696999866865,364.65552699228795
1785332653,20,,Aggregated,9.700000,0.000000,10,10,12,13,18,26,47,48,110,110,110,398,0,10,10.80842952509026,1.7082429985748604,108.49696999866865,367.88442211055275
1785332654,20,,Aggregated,9.800000,0.000000,10,10,12,13,18,25,42,48,110,110,110,408,0,10,10.80015319114097,1.7082429985748604,108.49696999866865,366.47549019607845
1785332655,20,,Aggregated,9.500000,0.000000,10,10,11,13,18,25,42,48,110,110,110,421,0,10,10.749730546291984,1.7082429985748604,108.49696999866865,366.85985748218525
1785332656,20,,Aggregated,9.800000,0.000000,10,10,11,12,18,25,42,48,110,110,110,429,0,10,10.685652144506166,1.7082429985748604,108.49696999866865,363.35198135198135
1785332657,20,,Aggregated,9.600000,0.000000,10,10,11,12,18,25,42,48,110,110,110,439,0,10,10.601028938477624,1.7082429985748604,108.49696999866865,363.5740318906606
1785332658,20,,Aggregated,9.500000,0.000000,10,10,11,12,18,25,41,48,110,110,110,452,0,10,10.528260842891267,1.7082429985748604,108.49696999866865,360.4159292035398
1785332659,20,,Aggregated,9.700000,0.000000,10,10,11,12,18,25,41,48,110,110,110,459,0,10,10.47455115682379,1.7082429985748604,108.49696999866865,357.6928104575163
1785332660,20,,Aggregated,9.600000,0.000000,10,10,11,12,17,24,41,48,110,110,110,471,0,10,10.397910889553998,1.7082429985748604,108.49696999866865,356.9723991507431
1785332661,20,,Aggregated,10.100000,0.000000,10,10,11,12,17,24,41,48,110,110,110,482,0,10,10.341547095388353,1.7082429985748604,108.49696999866865,359.8900414937759
1785332662,20,,Aggregated,10.000000,0.000000,10,10,11,12,17,24,41,48,110,110,110,492,0,10,10.309580540603001,1.7082429985748604,108.49696999866865,358.5142276422764
1785332663,20,,Aggregated,10.300000,0.000000,10,10,11,12,17,23,38,48,110,110,110,505,0,10,10.212682926679252,1.7082429985748604,108.49696999866865,363.84950495049503
1785332664,20,,Aggregated,10.600000,0.000000,10,10,11,12,17,23,38,48,110,110,110,510,0,10,10.223018013679322,1.7082429985748604,108.49696999866865,365.18039215686275
1785332665,20,,Aggregated,10.400000,0.000000,10,10,11,12,16,22,38,48,110,110,110,521,0,10,10.157429859843333,1.7082429985748604,108.49696999866865,361.80998080614205
