feature,auc_raw,auc_corrected,missing_rate,n_unique
historique_credit,0.4384923798895876,0.5615076201104123,0.17995979899497488,551
ratio_endettement,0.5512461895744386,0.5512461895744386,0.010010050251256281,2239
revenu_par_credit_actif,0.4667769952181555,0.5332230047818445,0.039678391959799,14978
flag_primo_demandeur,0.5279351379919156,0.5279351379919156,0.0,2
revenu_mensuel_xaf,0.47290135449616305,0.5270986455038369,0.039678391959799,8275
nb_credits_actifs,0.5231298345331732,0.5231298345331732,0.0,9
indice_surendettement,0.5172875328353864,0.5172875328353864,0.0,1396
flux_sortant_sur_revenu,0.5167962529308698,0.5167962529308698,0.31525628140703515,33198
anciennete_emploi,0.4838954968228364,0.5161045031771636,0.010010050251256281,121
flag_no_credit_history,0.49282522277694535,0.5071747772230546,0.0,2
mobile_money_score,0.49345189205837003,0.50654810794163,0.2797788944723618,955
anciennete_compte_mois,0.494452912938601,0.505547087061399,0.2800603015075377,84
total_montant_xaf,0.49451972047527126,0.5054802795247287,0.2927236180904523,936
nb_credit,0.4946125473517973,0.5053874526482027,0.2927236180904523,8
nb_credits_rembourses_hist,0.49485133573351703,0.505148664266483,0.2927236180904523,9
score_regularite_pondere,0.4958084090606348,0.5041915909393653,0.2944321608040201,26073
taux_remboursement_historique,0.49740311871700016,0.5025968812829998,0.2927236180904523,19
nb_transaction_mois,0.5024970781245022,0.5024970781245022,0.2800603015075377,58
regularite_score,0.49760600532259325,0.5023939946774068,0.2944321608040201,990
nb_credits_restructures_hist,0.5022364444567929,0.5022364444567929,0.2927236180904523,5
seuil_score_partenaire,0.49777938255777743,0.5022206174422226,0.2927236180904523,176
anciennete_credit_normalisee,0.5019532739215122,0.5019532739215122,0.2927236180904523,1972
jours_depuis_dernier_credit,0.4980467260784878,0.5019532739215122,0.2927236180904523,1972
volume_mensuel_partenaire,0.4981212638344282,0.5018787361655719,0.2927236180904523,254
max_retard,0.5018629280466731,0.5018629280466731,0.29682412060301505,120
volume_sortant,0.5018213292255452,0.5018213292255452,0.2872562814070352,2668
total_retards,0.5016990836778342,0.5016990836778342,0.2927236180904523,30
volume_entrant,0.49940593897913427,0.5005940610208657,0.2872964824120603,3359
nb_credits_defaut_hist,0.5005917198471488,0.5005917198471488,0.2927236180904523,7
taux_defaut_historique,0.500524099796598,0.500524099796598,0.2927236180904523,12
nb_credits_en_cours_hist,0.49948644398818026,0.5005135560118197,0.2927236180904523,7
flag_anciennete_emploi_missing,0.5004116648816052,0.5004116648816052,0.0,2
age,0.499725243707303,0.500274756292697,0.0,58
avg_credit_xaf,0.5000771094568514,0.5000771094568514,0.2927236180904523,1793
